,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25
fraud app,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
so beautiful app,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
good,12.0,95.0,72.0,86.0,80.0,108.0,115.0,165.0,102.0,89.0,114.0,8.0
superb,1.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,0.0
very good,2.0,8.0,12.0,11.0,9.0,6.0,21.0,12.0,11.0,7.0,10.0,0.0
mast,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
okay,2.0,6.0,10.0,8.0,9.0,5.0,10.0,11.0,14.0,9.0,13.0,1.0
nice,2.0,34.0,32.0,32.0,28.0,29.0,42.0,51.0,22.0,31.0,34.0,5.0
bahut achcha,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
excellent service,1.0,10.0,6.0,13.0,8.0,11.0,8.0,10.0,10.0,10.0,6.0,0.0
lot of charges,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
app with chutiya distribution i have received my o,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order acceptance but not delivered yet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i am very upset with this i just cancelled my orde,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiggys service is pathetic they repeatedly assign,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
used to love the swiggy but is getting worse day b,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i think this app is valuable for us for emergency,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst experience ever the order showed continuous ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thankyou,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bad service now there is a scam going on in swiggy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nokkam,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bad serivice by swiggy dont order,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super,1.0,14.0,16.0,13.0,9.0,13.0,22.0,23.0,18.0,12.0,15.0,1.0
good app ever food apps,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
dont use swiggy they are running scam i got the or,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great,1.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,1.0,4.0,1.0,0.0
good swiggy,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
god but keep coupons more than customer is happy w,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i think everyone knows the pros so ill mention the,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excellent app for food groceries,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
na moddal swiggy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd class service didnt deliver my order after wait,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very bad delivery boy is not available,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good and thankyou,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst management no proper customer support delive,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiggys service is extremely pathetic late deliver,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sir ji swiggy app per bahot lootte hain yrr mai ka,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
not on time,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nice app,0.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,0.0
swiggys work culture is toxic cruel and inhuman my,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
these people are extremely irresponsible about tim,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiggy customer care is the worst i ordered packet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i have an order for i have clearly mentioned in co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gud,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
best sarvice,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
swiggy has no quality control it seems they do not,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
order delivered late,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
best,0.0,3.0,1.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,2.0
very bad app for online food customer care is misb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my favourite delivery app,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
excellent,0.0,9.0,3.0,4.0,8.0,5.0,5.0,2.0,6.0,4.0,8.0,0.0
pathetic delivery and customer support,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how awesome would it be if you add the sound of bi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pocket friendly,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
